Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price,Price Range
259,KATSU PURIPO,3.94,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B260,"" "",""+""),""+"", SUBSTITUTE(F260,"" "",""+"")), ""Link"")","TONKATSU (PORK CUTLET), KATSU-DON (PORK CUTLET BOWL)",3500.0,7000.0,東京都新宿区歌舞伎町1-10-3 G3ビル 2F,SEIBU SHINJUKU,710,https://tabelog.com/en/tokyo/A1304/A130401/13264309/,"JPY 6,000～JPY 7,999","JPY 3,000～JPY 3,999",7000.0,5k-10k
266,RADIO,3.94,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B267,"" "",""+""),""+"", SUBSTITUTE(F267,"" "",""+"")), ""Link"")",BAR,,5500.0,東京都港区南青山3-10-34,OMOTE SANDO,237,https://tabelog.com/en/tokyo/A1306/A130602/13001207/,"JPY 5,000～JPY 5,999",-,5500.0,5k-10k
274,OKASHIYA UCCHI-,3.93,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B275,"" "",""+""),""+"", SUBSTITUTE(F275,"" "",""+"")), ""Link"")","CAKE, SWEETS",5500.0,,東京都渋谷区千駄ヶ谷3-27-9 ウエスト青山 1F,KITA SANDO,472,https://tabelog.com/en/tokyo/A1309/A130901/13238644/,-,"JPY 5,000～JPY 5,999",5500.0,5k-10k
277,YAKITORI UNO,3.93,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B278,"" "",""+""),""+"", SUBSTITUTE(F278,"" "",""+"")), ""Link"")",YAKITORI (GRILLED CHICKEN SKEWERS),,7000.0,東京都世田谷区奥沢3-30-11,OKUSAWA,292,https://tabelog.com/en/tokyo/A1317/A131711/13130757/,"JPY 6,000～JPY 7,999",-,7000.0,5k-10k
287,TOUKYOU EN,3.92,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B288,"" "",""+""),""+"", SUBSTITUTE(F288,"" "",""+"")), ""Link"")",YAKINIKU (BBQ BEEF),,9000.0,東京都中央区銀座5-9-5,HIGASHI GINZA,307,https://tabelog.com/en/tokyo/A1301/A130101/13002566/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
289,BEIJING YUZEN,3.92,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B290,"" "",""+""),""+"", SUBSTITUTE(F290,"" "",""+"")), ""Link"")",CHINESE,,9000.0,東京都杉並区荻窪5-24-7 富士ビル　２Ｆ,OGIKUBO,202,https://tabelog.com/en/tokyo/A1319/A131906/13001102/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
290,PRETTY PORK FACTORY & KATSU PURIPO,3.92,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B291,"" "",""+""),""+"", SUBSTITUTE(F291,"" "",""+"")), ""Link"")","SHABU SHABU (JAPANESE HOTPOT), TONKATSU (PORK CUTLET), KOREAN",2500.0,9000.0,東京都渋谷区神宮前6-31-21 東急プラザ原宿ハラカド 506,MEIJI JINGUMAE,175,https://tabelog.com/en/tokyo/A1306/A130601/13295369/,"JPY 8,000～JPY 9,999","JPY 2,000～JPY 2,999",9000.0,5k-10k
316,THE PIZZA BAR ON 38TH,3.9,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B317,"" "",""+""),""+"", SUBSTITUTE(F317,"" "",""+"")), ""Link"")","PIZZA, ITALIAN",3500.0,7000.0,東京都中央区日本橋室町2-1-1 マンダリンオリエンタル東京 38F,MITSUKOSHIMAE,385,https://tabelog.com/en/tokyo/A1302/A130202/13167573/,"JPY 6,000～JPY 7,999","JPY 3,000～JPY 3,999",7000.0,5k-10k
330,YAKINIKU KOUSEN,3.89,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B331,"" "",""+""),""+"", SUBSTITUTE(F331,"" "",""+"")), ""Link"")",YAKINIKU (BBQ BEEF),,7000.0,東京都葛飾区立石1-18-5,KEISEI TATEISHI,299,https://tabelog.com/en/tokyo/A1324/A132403/13133997/,"JPY 6,000～JPY 7,999",-,7000.0,5k-10k
332,TORI AROMA,3.89,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B333,"" "",""+""),""+"", SUBSTITUTE(F333,"" "",""+"")), ""Link"")","YAKITORI (GRILLED CHICKEN SKEWERS), CHICKEN DISHES, OYAKO-DON (CHICKEN AND EGG BOWL)",,9000.0,東京都千代田区神田神保町2-12-3,JIMBOCHO,215,https://tabelog.com/en/tokyo/A1310/A131003/13280797/,"JPY 8,000～JPY 9,999",-,9000.0,5k-10k
