Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price,Price Range
414,TONKATSU AOKI SAPPORO ODORI TEN,3.59,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B415,"" "",""+""),""+"", SUBSTITUTE(F415,"" "",""+"")), ""Link"")","TONKATSU (PORK CUTLET), CAFETERIA, CURRY",1500.0,1500.0,北海道札幌市中央区南一条西5-5-1,NISHI YON CHOME,246,https://tabelog.com/en/hokkaido/A0101/A010102/1063034/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
416,SAPPORO FUJIYA,3.59,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B417,"" "",""+""),""+"", SUBSTITUTE(F417,"" "",""+"")), ""Link"")","RAMEN, TSUKEMEN",1500.0,1500.0,北海道札幌市東区北14条東7-1-22,HIGASHI KUYAKUSHO MAE,238,https://tabelog.com/en/hokkaido/A0101/A010202/1063705/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
432,AJANTA INDO KARITEN,3.59,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B433,"" "",""+""),""+"", SUBSTITUTE(F433,"" "",""+"")), ""Link"")","SOUP CURRY, INDIAN CURRY",1500.0,,北海道札幌市中央区南29条西10丁目6-5,ISHIYAMA DORI,90,https://tabelog.com/en/hokkaido/A0101/A010104/1055967/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
436,IN CURRY,3.59,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B437,"" "",""+""),""+"", SUBSTITUTE(F437,"" "",""+"")), ""Link"")",SOUP CURRY,1500.0,1500.0,北海道札幌市西区二十四軒3条5-9-33,KOTONI,74,https://tabelog.com/en/hokkaido/A0101/A010204/1065304/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
440,HAMADA SHOUTEN,3.59,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B441,"" "",""+""),""+"", SUBSTITUTE(F441,"" "",""+"")), ""Link"")","CAFETERIA, KAISEN-DON (SEAFOOD BOWL), SEAFOOD",1500.0,,北海道目梨郡羅臼町礼文町365-1,-,66,https://tabelog.com/en/hokkaido/A0112/A011204/1030424/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
442,PIZZERIA DA HARU,3.59,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B443,"" "",""+""),""+"", SUBSTITUTE(F443,"" "",""+"")), ""Link"")",PIZZA,1500.0,1500.0,北海道千歳市北陽1-4-1,OSATSU,65,https://tabelog.com/en/hokkaido/A0107/A010701/1063081/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
451,OTARU SOUKO NO 1,3.58,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B452,"" "",""+""),""+"", SUBSTITUTE(F452,"" "",""+"")), ""Link"")","BEER HALL, GERMAN",999.0,1500.0,北海道小樽市港町5-4,OTARU,660,https://tabelog.com/en/hokkaido/A0106/A010601/1000286/,"JPY 1,000～JPY 1,999",～JPY 999,1500.0,1k-2.5k
453,KITAICHI HORU,3.58,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B454,"" "",""+""),""+"", SUBSTITUTE(F454,"" "",""+"")), ""Link"")","TRADITIONAL CAFÉ, CAKE, CAFETERIA",999.0,1500.0,北海道小樽市堺町7-26 北一硝子三号館,MINAMI OTARU,607,https://tabelog.com/en/hokkaido/A0106/A010601/1000052/,"JPY 1,000～JPY 1,999",～JPY 999,1500.0,1k-2.5k
454,PIKANTI SAPPOROEKIMAETEN,3.58,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B455,"" "",""+""),""+"", SUBSTITUTE(F455,"" "",""+"")), ""Link"")",SOUP CURRY,1500.0,,北海道札幌市中央区北2条西1-8-4 青山ビル　1F,SAPPORO,527,https://tabelog.com/en/hokkaido/A0101/A010101/1025001/,-,"JPY 1,000～JPY 1,999",1500.0,1k-2.5k
460,AME HAYASASHIKU NAMBATSU,3.58,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B461,"" "",""+""),""+"", SUBSTITUTE(F461,"" "",""+"")), ""Link"")","RAMEN, TSUKEMEN, CREATIVE",1500.0,1500.0,北海道札幌市東区北七条東3-1-1,KITA JUSANJO HIGASHI,429,https://tabelog.com/en/hokkaido/A0101/A010202/1055806/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
466,ATELIER MORIHIKO,3.58,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B467,"" "",""+""),""+"", SUBSTITUTE(F467,"" "",""+"")), ""Link"")","CAFE, CAKE",1500.0,1500.0,北海道札幌市中央区南一条西12-4-182 ＡＳビル　１Ｆ,CHUO KUYAKUSHO MAE,358,https://tabelog.com/en/hokkaido/A0101/A010102/1005021/,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",1500.0,1k-2.5k
