Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price,Price Range
402,PATISSERIE JUN UJITA,3.85,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B403,"" "",""+""),""+"", SUBSTITUTE(F403,"" "",""+"")), ""Link"")","CAKE, CAFE",999.0,999.0,東京都目黒区碑文谷4-6-6,TORITSU DAIGAKU,514,https://tabelog.com/en/tokyo/A1317/A131702/13133033/,～JPY 999,～JPY 999,999.0,-999
420,SUZUME YA,3.84,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B421,"" "",""+""),""+"", SUBSTITUTE(F421,"" "",""+"")), ""Link"")","JAPANESE SWEETS, DORAYAKI",999.0,,東京都豊島区南池袋2-18-5,IKEBUKURO,1400,https://tabelog.com/en/tokyo/A1305/A130501/13009255/,-,～JPY 999,999.0,-999
443,KASHIWAGI,3.83,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B444,"" "",""+""),""+"", SUBSTITUTE(F444,"" "",""+"")), ""Link"")",RAMEN,999.0,999.0,東京都中野区東中野1-36-7,HIGASHI NAKANO,1447,https://tabelog.com/en/tokyo/A1319/A131901/13209326/,～JPY 999,～JPY 999,999.0,-999
451,SEIJUKEN,3.83,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B452,"" "",""+""),""+"", SUBSTITUTE(F452,"" "",""+"")), ""Link"")","JAPANESE SWEETS, DORAYAKI",999.0,,東京都中央区日本橋堀留町1-4-16 ピーコス日本橋ビル1F,KODEMMACHO,973,https://tabelog.com/en/tokyo/A1302/A130204/13213772/,-,～JPY 999,999.0,-999
456,TAKAYAMA KOHI,3.83,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B457,"" "",""+""),""+"", SUBSTITUTE(F457,"" "",""+"")), ""Link"")","TRADITIONAL CAFÉ, CAFE",999.0,,東京都千代田区神田須田町1-12,AWAJICHO,659,https://tabelog.com/en/tokyo/A1310/A131002/13011257/,-,～JPY 999,999.0,-999
466,RAXAMEN YAMATOKI,3.82,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B467,"" "",""+""),""+"", SUBSTITUTE(F467,"" "",""+"")), ""Link"")",RAMEN,999.0,999.0,東京都杉並区高円寺南5-21-7 高円寺マンション 107,KOENJI,1146,https://tabelog.com/en/tokyo/A1319/A131904/13204607/,～JPY 999,～JPY 999,999.0,-999
467,DANS DIX ANS,3.82,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B468,"" "",""+""),""+"", SUBSTITUTE(F468,"" "",""+"")), ""Link"")",BREAD,,999.0,東京都武蔵野市吉祥寺本町2-28-2 B1F,KICHIJOJI,1140,https://tabelog.com/en/tokyo/A1320/A132001/13005834/,～JPY 999,-,999.0,-999
472,TAKUMA,3.82,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B473,"" "",""+""),""+"", SUBSTITUTE(F473,"" "",""+"")), ""Link"")",RAMEN,999.0,999.0,東京都八王子市明神町4-12-2,KEIO HACHIOJI,885,https://tabelog.com/en/tokyo/A1329/A132904/13246669/,～JPY 999,～JPY 999,999.0,-999
485,PATHISURI SATSUKI,3.81,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B486,"" "",""+""),""+"", SUBSTITUTE(F486,"" "",""+"")), ""Link"")","CAKE, BREAD",999.0,999.0,東京都千代田区紀尾井町4-1 ホテルニューオータニ東京 ロビィ階,KOJIMACHI,1342,https://tabelog.com/en/tokyo/A1308/A130803/13000178/,～JPY 999,～JPY 999,999.0,-999
486,SUCRE RIE,3.81,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B487,"" "",""+""),""+"", SUBSTITUTE(F487,"" "",""+"")), ""Link"")","CAKE, SWEETS",999.0,999.0,東京都中央区日本橋人形町1-5-5 セントハイム人形町源　１Ｆ,NINGYOCHO,1224,https://tabelog.com/en/tokyo/A1302/A130204/13050996/,～JPY 999,～JPY 999,999.0,-999
