Rank,Name,Rating,Link,Genre,Avg_Lunch,Avg_Dinner,Address,Station,Reviews,URL,Dinner Price,Lunch Price,Price,Price Range
375,KEN'S CAFE TOKYO SOHON TEN,3.86,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B376,"" "",""+""),""+"", SUBSTITUTE(F376,"" "",""+"")), ""Link"")","CHOCOLATE, CAKE",3500.0,3500.0,東京都新宿区新宿1-23-3 御苑コーポビアネーズ 1F,SHINJUKU GYOEMMAE,1418,https://tabelog.com/en/tokyo/A1304/A130402/13024643/,"JPY 3,000～JPY 3,999","JPY 3,000～JPY 3,999",3500.0,2.5k-5k
379,ALDEBARAN,3.86,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B380,"" "",""+""),""+"", SUBSTITUTE(F380,"" "",""+"")), ""Link"")","HAMBURGER, CREATIVE, MEAT DISHES",2500.0,2500.0,東京都港区麻布十番3-3-1 三喜ビル 3F,AZABU JUBAN,686,https://tabelog.com/en/tokyo/A1307/A130702/13278678/,"JPY 2,000～JPY 2,999","JPY 2,000～JPY 2,999",2500.0,2.5k-5k
393,MONSAN KURE-RU,3.85,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B394,"" "",""+""),""+"", SUBSTITUTE(F394,"" "",""+"")), ""Link"")","CAKE, MACAROON, BREAD",,2500.0,東京都目黒区自由が丘2-22-4,JIYUGAOKA,1580,https://tabelog.com/en/tokyo/A1317/A131703/13003221/,"JPY 2,000～JPY 2,999",-,2500.0,2.5k-5k
397,JAPANIZU COBA NUDORU TSUTA,3.85,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B398,"" "",""+""),""+"", SUBSTITUTE(F398,"" "",""+"")), ""Link"")","RAMEN, TSUKEMEN",3500.0,,東京都渋谷区西原3-2-4 フロンティア代々木上原 B1F,YOYOGI UEHARA,1270,https://tabelog.com/en/tokyo/A1318/A131811/13241560/,-,"JPY 3,000～JPY 3,999",3500.0,2.5k-5k
409,EST!,3.85,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B410,"" "",""+""),""+"", SUBSTITUTE(F410,"" "",""+"")), ""Link"")",BAR,,4500.0,東京都文京区湯島3-45-3 小林ビル 1F,YUSHIMA,274,https://tabelog.com/en/tokyo/A1311/A131101/13003582/,"JPY 4,000～JPY 4,999",-,4500.0,2.5k-5k
410,SALUMERIA 69,3.85,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B411,"" "",""+""),""+"", SUBSTITUTE(F411,"" "",""+"")), ""Link"")","SIDE DISHES, DELICATESSEN",,2500.0,東京都調布市入間町3-9-11 サミール成城1F,SEIJOGAKUEN MAE,210,https://tabelog.com/en/tokyo/A1318/A131814/13123698/,"JPY 2,000～JPY 2,999",-,2500.0,2.5k-5k
424,TSUKKABEKKARAI KAYANUMA,3.84,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B425,"" "",""+""),""+"", SUBSTITUTE(F425,"" "",""+"")), ""Link"")","CAKE, SWEETS",,3500.0,東京都港区赤坂1-4-5 栢沼ビル 1F,TAMEIKE SANNO,951,https://tabelog.com/en/tokyo/A1308/A130802/13002756/,"JPY 3,000～JPY 3,999",-,3500.0,2.5k-5k
427,SHIGEN,3.84,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B428,"" "",""+""),""+"", SUBSTITUTE(F428,"" "",""+"")), ""Link"")","KAISEN-DON (SEAFOOD BOWL), SEAFOOD",2500.0,,東京都中央区築地4-13-8 ソラシアビル 1F,TSUKIJISHIJO,744,https://tabelog.com/en/tokyo/A1313/A131301/13262581/,-,"JPY 2,000～JPY 2,999",2500.0,2.5k-5k
429,TOUKYOU KYOU BASHIYA KARE-,3.84,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B430,"" "",""+""),""+"", SUBSTITUTE(F430,"" "",""+"")), ""Link"")",CURRY,2500.0,3500.0,東京都中央区京橋3-4-3 千成ビル２F,GINZA ITCHOME,523,https://tabelog.com/en/tokyo/A1302/A130202/13027104/,"JPY 3,000～JPY 3,999","JPY 2,000～JPY 2,999",3500.0,2.5k-5k
436,BURONDHIRU,3.84,"=HYPERLINK(CONCATENATE(""https://www.google.com/maps/search/?api=1&query="", SUBSTITUTE(B437,"" "",""+""),""+"", SUBSTITUTE(F437,"" "",""+"")), ""Link"")","CAKE, BREAD",2500.0,2500.0,東京都練馬区石神井町4-28-12,SHAKUJII KOEN,273,https://tabelog.com/en/tokyo/A1321/A132103/13184127/,"JPY 2,000～JPY 2,999","JPY 2,000～JPY 2,999",2500.0,2.5k-5k
